PassengerId,Survived,Pclass,Name,NameLength,Sex,SibSpouce,ParentsChild,TicketNumber,Fare,Cabin,Age_wiki,Age_Months,HometownCountry,Boarded,Destination,DestinationCountry,Lifeboat,LifeboatSupport
105,0,3,"Gustafsson, Mr. Anders Vilhelm",30,male,2,0,3101276,7.925,,37,444,Finland,Southampton,New York City,US,,No
106,0,3,"Mionoff, Mr. Stoytcho",21,male,0,0,349207,7.8958,,28,336,Bulgaria,Southampton,"Chicago, Illinois, US",US,,No
107,1,3,"Salkjelsvik, Miss. Anna Kristine",32,female,0,0,343120,7.65,,21,252,Norway,Southampton,"Proctor, Minnesota, US",US,C,Yes
108,1,3,"Moss, Mr. Albert Johan",22,male,0,0,312991,7.775,,29,348,Norway,Southampton,New York City,US,B,Yes
109,0,3,"Rekic, Mr. Tido",15,male,0,0,349249,7.8958,,38,456,Bosnia,Southampton,"Harrisburg, Pennsylvania, US",US,,No
110,1,3,"Moran, Miss. Bertha",19,female,1,0,371110,24.15,,28,336,Ireland,Queenstown,"Brooklyn, New York, US",US,16,Yes
111,0,1,"Porter, Mr. Walter Chamberlain",30,male,0,0,110465,52,C110,46,552,US,Southampton,"Worcester, Massachusetts, US",US,,No
112,0,3,"Zabour, Miss. Hileni",20,female,1,0,2665,14.4542,,16,192,Syria,Cherbourg,New York City,US,,No
113,0,3,"Barton, Mr. David John",22,male,0,0,324669,8.05,,22,264,England,Southampton,New York City,US,,No
114,0,3,"Jussila, Miss. Katriina",23,female,1,0,4136,9.825,,20,240,Finland,Southampton,New York City,US,,No
115,0,3,"Attalah, Miss. Malake",21,female,0,0,2627,14.4583,,17,204,Lebanon,Cherbourg,New York City,US,,No
116,0,3,"Pekoniemi, Mr. Edvard",21,male,0,0,STON/O 2. 3101294,7.925,,21,252,Finland,Southampton,New York City,US,,No
117,0,3,"Connors, Mr. Patrick",20,male,0,0,370369,7.75,,61,732,Ireland,Queenstown,New York City,US,,No
118,0,2,"Turpin, Mr. William John Robert",31,male,1,0,11668,21,,29,348,England,Southampton,"Salt Lake City, Utah, US",US,,No
119,0,1,"Baxter, Mr. Quigg Edmond",24,male,0,1,PC 17558,247.5208,B58 B60,24,288,Canada,Cherbourg,"Montreal, Quebec, Canada",Canada,,No
120,0,3,"Andersson, Miss. Ellis Anna Maria",33,female,4,2,347082,31.275,,2,24,Sweden,Southampton,"Winnipeg, Manitoba, Canada",Canada,,No
121,0,2,"Hickman, Mr. Stanley George",27,male,2,0,S.O.C. 14879,73.5,,20,240,England,Southampton,"The Pas, Manitoba, Canada",Canada,,No
122,0,3,"Moore, Mr. Leonard Charles",26,male,0,0,A4. 54510,8.05,,19,228,England,Southampton,"Hoboken, New Jersey, US",US,,No
123,0,2,"Nasser, Mr. Nicholas",20,male,1,0,237736,30.0708,,28,336,Lebanon,Cherbourg,"Cleveland, Ohio, US",US,,No
124,1,2,"Webber, Miss. Susan",19,female,0,0,27267,13,E101,37,444,England,Southampton,"Hartford, Connecticut, US",US,12,Yes
125,0,1,"White, Mr. Percival Wayland",27,male,0,1,35281,77.2875,D26,54,648,US,Southampton,"Brunswick, Maine, US",US,,No
126,1,3,"Nicola-Yarred, Master. Elias",28,male,1,0,2651,11.2417,,12,144,Lebanon,Cherbourg,"Jacksonville, Florida, US",US,C,Yes
127,0,3,"McMahon, Mr. Martin",19,male,0,0,370372,7.75,,20,240,Ireland,Queenstown,New York City,US,,No
128,1,3,"Madsen, Mr. Fridtjof Arne",25,male,0,0,C 17369,7.1417,,24,288,Norway,Southampton,"Brooklyn, New York, US",US,13,Yes
129,1,3,"Peter, Miss. Anna",17,female,1,1,2668,22.3583,F E69,2,24,Syria,Cherbourg,"Detroit, Michigan, US",US,C,Yes
130,0,3,"Ekstrom, Mr. Johan",18,male,0,0,347061,6.975,,45,540,US,Southampton,"Effington Rut, South Dakota, US",US,,No
131,0,3,"Drazenoic, Mr. Jozef",20,male,0,0,349241,7.8958,,33,396,Croatia,Cherbourg,New York City,US,,No
132,0,3,"Coelho, Mr. Domingos Fernandeo",30,male,0,0,SOTON/O.Q. 3101307,7.05,,20,240,Portugal,Southampton,New York City,US,,No
133,0,3,"Robins, Mrs. Alexander A ",25,female,1,0,A/5. 3337,14.5,,47,564,England,Southampton,"Yonkers, New York, US",US,,No
134,1,2,"Weisz, Mrs. Leopold ",20,female,1,0,228414,26,,37,444,England,Southampton,"Montreal, Quebec, Canada",Canada,10,Yes
135,0,2,"Sobey, Mr. Samuel James Hayden",30,male,0,0,C.A. 29178,13,,25,300,England,Southampton,"Houghton, Michigan, US",US,,No
136,0,2,"Richard, Mr. Emile",18,male,0,0,SC/PARIS 2133,15.0458,,23,276,France,Cherbourg,"Montreal, Quebec, Canada",Canada,,No
137,1,1,"Newsom, Miss. Helen Monypeny",28,female,0,2,11752,26.2833,D47,19,228,US,Southampton,"New York, New York, US",US,5,Yes
138,0,1,"Futrelle, Mr. Jacques Heath",27,male,1,0,113803,53.1,C123,37,444,US,Southampton,"Scituate, Massachusetts, US",US,,No
139,0,3,"Osen, Mr. Olaf Elon",19,male,0,0,7534,9.2167,,16,192,Sweden,Southampton,"Mitchell, South Dakota, US",US,,No
140,0,1,"Giglio, Mr. Victor",18,male,0,0,PC 17593,79.2,B86,24,288,France,Cherbourg,"New York, New York, US",US,,No
141,0,3,"Boulos, Mrs. Joseph ",20,female,0,2,2678,15.2458,,40,480,Lebanon,Cherbourg,"Kent, British Columbia, Canada",Canada,,No
142,1,3,"Nysten, Miss. Anna Sofia",24,female,0,0,347081,7.75,,22,264,Sweden,Southampton,"Hackensack, New Jersey, US",US,13,Yes
143,1,3,"Hakkarainen, Mrs. Pekka Pietari ",32,female,1,0,STON/O2. 3101279,15.85,,24,288,Finland,Southampton,"Monessen, Pennsylvania, US",US,15,Yes
144,0,3,"Burke, Mr. Jeremiah",19,male,0,0,365222,6.75,,19,228,Ireland,Queenstown,"Charlestown, US",US,,No
145,0,2,"Andrew, Mr. Edgardo Samuel",26,male,0,0,231945,11.5,,17,204,Argentina,Southampton,"Trenton, New Jersey, US",US,,No
146,0,2,"Nicholls, Mr. Joseph Charles",28,male,1,1,C.A. 33112,36.75,,19,228,England,Southampton,"Houghton, Michigan, US",US,,No
147,1,3,"Andersson, Mr. August Edvard ",29,male,0,0,350043,7.7958,,27,324,Sweden,Southampton,"Chicago, Illinois, US",US,A,Yes
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",32,female,2,2,W./C. 6608,34.375,,7,84,England,Southampton,"Essex County, New Jersey, US",US,,No
149,0,2,"Navratil, Mr. Michel ",21,male,0,2,230080,26,F2,32,384,France,Southampton,New York City,US,,No
150,0,2,"Byles, Rev. Thomas Roussel Davids",33,male,0,0,244310,13,,42,504,England,Southampton,"Jacksonville, Florida, US",US,,No
151,0,2,"Bateman, Rev. Robert James",26,male,0,0,S.O.P. 1166,12.525,,51,612,US,Southampton,"Jacksonville, Florida, US",US,,No
152,1,1,"Pears, Mrs. Thomas ",19,female,1,0,113776,66.6,C2,22,264,England,Southampton,"New York, New York, US",US,8,Yes
153,0,3,"Meo, Mr. Alfonzo",16,male,0,0,A.5. 11206,8.05,,48,576,England,Southampton,"Washington, DC, US",US,,No
154,0,3,"van Billiard, Mr. Austin Blyler",31,male,0,2,A/5. 851,14.5,,35,420,England,Southampton,"North Wales, Pennsylvania, US",US,,No
155,0,3,"Olsen, Mr. Ole Martin",21,male,0,0,Fa 265302,7.3125,,27,324,Norway,Southampton,"Broderick, Canada",Canada,,No
156,0,1,"Williams, Mr. Charles Duane",27,male,0,1,PC 17597,61.3792,,51,612,Switzerland,Cherbourg,"Radnor, Pennsylvania, US",US,,No
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",32,female,0,0,35851,7.7333,,17,204,Ireland,Queenstown,New York City,US,16,Yes
158,0,3,"Corn, Mr. Harry",15,male,0,0,SOTON/OQ 392090,8.05,,30,360,England,Southampton,New York City,US,,No
159,0,3,"Smiljanic, Mr. Mile",19,male,0,0,315037,8.6625,,37,444,Croatia,Southampton,New York City,US,,No
160,0,3,"Sage, Master. Thomas Henry",26,male,8,2,CA. 2343,69.55,,4,48,England,Southampton,"Jacksonville, Florida, US",US,,No
161,0,3,"Cribb, Mr. John Hatfield",24,male,0,1,371362,16.1,,44,528,England,Southampton,"Newark, New Jersey, US",US,,No
162,1,2,"Watt, Mrs. James ",17,female,0,0,C.A. 33595,15.75,,40,480,Scotland,Southampton,"Portland, Oregon, US",US,9,Yes
163,0,3,"Bengtsson, Mr. John Viktor",26,male,0,0,347068,7.775,,26,312,Sweden,Southampton,"Monee, Illinois, US",US,,No
164,0,3,"Calic, Mr. Jovo",15,male,0,0,315093,8.6625,,17,204,Croatia,Southampton,"Sault Ste. Marie, Michigan, US",US,,No
165,0,3,"Panula, Master. Eino Viljami",28,male,4,1,3101295,39.6875,,1,12,Finland,Southampton,"Coal Center, Pennsylvania, US",US,,No
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",47,male,0,2,363291,20.525,,9,108,England,Southampton,"Detroit, Michigan, US",US,C,Yes
167,1,1,"Chibnall, Mrs. ",15,female,0,1,113505,55,E33,48,576,England,Southampton,"New York, New York, US",US,6,Yes
168,0,3,"Skoog, Mrs. William ",20,female,1,4,347088,27.9,,43,516,Sweden,Southampton,"Iron Mountain, Michigan, US",US,,No
169,0,1,"Baumann, Mr. John D",19,male,0,0,PC 17318,25.925,,60,720,US,Cherbourg,"New York, New York, US",US,,No
170,0,3,"Ling, Mr. Lee",13,male,0,0,1601,56.4958,,24,288,China,Southampton,New York City,US,,No
171,0,1,"Van der hoef, Mr. Wyckoff",25,male,0,0,111240,33.5,B19,61,732,US,Belfast,"Brooklyn, New York, US",US,,No
172,0,3,"Rice, Master. Arthur",20,male,4,1,382652,29.125,,4,48,Ireland,Queenstown,"Spokane, Washington, US",US,,No
173,1,3,"Johnson, Miss. Eleanor Ileen",28,female,1,1,347742,11.1333,,1,12,US,Southampton,"St. Charles, Illinois, US",US,15,Yes
174,0,3,"Sivola, Mr. Antti Wilhelm",25,male,0,0,STON/O 2. 3101280,7.925,,21,252,US,Southampton,"Mountain Home, Idaho, US",US,,No
175,0,1,"Smith, Mr. James Clinch",23,male,0,0,17764,30.6958,A7,56,672,France,Cherbourg,"Long Island, New York, US",US,,No
176,0,3,"Klasen, Mr. Klas Albin",22,male,1,1,350404,7.8542,,18,216,Sweden,Southampton,New York City,US,,No
177,0,3,"Lefebre, Master. Henry Forbes",29,male,3,1,4133,25.4667,,5,60,France,Southampton,"Mystic, Iowa, US",US,,No
178,0,1,"Isham, Miss. Ann Elizabeth",26,female,0,0,PC 17595,28.7125,C49,50,600,US,Cherbourg,"Chicago, Illinois, US",US,,No
179,0,2,"Hale, Mr. Reginald",18,male,0,0,250653,13,,30,360,US,Southampton,"Auburn, New York, US",US,,No
180,0,3,"Leonard, Mr. Lionel",19,male,0,0,LINE,0,,36,432,US,Southampton,New York City,US,,No
181,0,3,"Sage, Miss. Constance Gladys",28,female,8,2,CA. 2343,69.55,,7,84,England,Southampton,"Jacksonville, Florida, US",US,,No
182,0,2,"Pernot, Mr. Rene",16,male,0,0,SC/PARIS 2131,15.05,,39,468,France,Cherbourg,"New York, New York, US",US,,No
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",37,male,4,2,347077,31.3875,,9,108,Sweden,Southampton,"Worcester, Massachusetts, US",US,,No
184,1,2,"Becker, Master. Richard F",25,male,2,1,230136,39,F4,1,12,British India,Southampton,"Benton Harbor, Michigan, US",US,11,Yes
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",35,female,0,2,315153,22.025,,4,48,Switzerland,Southampton,"Milwaukee, Wisconsin, US",US,2,Yes
186,0,1,"Rood, Mr. Hugh Roscoe",21,male,0,0,113767,50,A32,38,456,US,Southampton,"Seattle, Washington, US",US,,No
187,1,3,"O'Brien, Mrs. Thomas ",21,female,1,0,370365,15.5,,26,312,Ireland,Queenstown,New York City,US,,No
188,1,1,"Romaine, Mr. Charles Hallace ",29,male,0,0,111428,26.55,,45,540,US,Southampton,"New York, New York, US",US,9,Yes
189,0,3,"Bourke, Mr. John",16,male,1,1,364849,15.5,,42,504,Ireland,Queenstown,"Chicago, Illinois, US",US,,No
190,0,3,"Turcin, Mr. Stjepan",19,male,0,0,349247,7.8958,,36,432,Croatia,Southampton,"Youngstown, Ohio, US",US,,No
191,1,2,"Pinsky, Mrs. ",13,female,0,0,234604,13,,21,252,US,Southampton,"Brooklyn, New York, US",US,9,Yes
