"","PassengerId","Survived","Pclass","Name","NameLength","Sex","SibSpouse","ParentsChild","TicketNumber","Fare","Cabin","Age_wiki","Age_Months","HometownCountry","Boarded","Destination","DestinationCountry","Lifeboat","LifeboatSupport"
"29",29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",29,"female",0,0,"330959",7,"",25,300,"Ireland","Queenstown","New York City","US","","No"
"30",30,0,3,"Todoroff, Mr. Lalio",19,"male",0,0,"349216",7,"",23,276,"Bulgaria","Southampton","Chicago, Illinois, US","US","","No"
"31",31,0,1,"Uruchurtu, Don. Manuel E",24,"male",0,0,"PC 17601",27,"",40,480,"Mexico","Cherbourg","Mexico City, Mexico","Mexico","","No"
"32",32,1,1,"Spencer, Mrs. William Augustus ",31,"female",1,0,"PC 17569",146,"B78",45,540,"US","Cherbourg","New York, New York, US","US","6","Yes"
"33",33,1,3,"Glynn, Miss. Mary Agatha",24,"female",0,0,"335677",7,"",19,228,"Ireland","Queenstown","Washington, DC, US","US","13","Yes"
"34",34,0,2,"Wheadon, Mr. Edward H",21,"male",0,0,"C.A. 24579",10,"",66,792,"Channel Islands","Southampton","Edgewood, Rhode Island, US","US","","No"
"35",35,0,1,"Meyer, Mr. Edgar Joseph",23,"male",1,0,"PC 17604",82,"",28,336,"US","Cherbourg","New York, New York, US","US","","No"
"36",36,0,1,"Holverson, Mr. Alexander Oskar",30,"male",1,0,"113789",52,"",42,504,"US","Southampton","New York, New York, US","US","","No"
"37",37,1,3,"Mamee, Mr. Hanna",16,"male",0,0,"2677",7,"",20,240,"Lebanon","Cherbourg","Philadelphia, Pennsylvania, US","US","15","Yes"
"38",38,0,3,"Cann, Mr. Ernest Charles",24,"male",0,0,"A./5. 2152",8,"",21,252,"England","Southampton","New York City","US","","No"
"39",39,0,3,"Vander Planke, Miss. Augusta Maria",34,"female",2,0,"345764",18,"",18,216,"Belgium","Southampton","Fremont, Ohio, US","US","","No"
"40",40,1,3,"Nicola-Yarred, Miss. Jamila",27,"female",1,0,"2651",11,"",14,168,"Lebanon","Cherbourg","Jacksonville, Florida, US","US","C","Yes"
"41",41,0,3,"Ahlin, Mrs. Johan ",18,"female",1,0,"7546",9,"",40,480,"Sweden","Southampton","Akeley, Minnesota, US","US","","No"
"42",42,0,2,"Turpin, Mrs. William John Robert ",33,"female",1,0,"11668",21,"",27,324,"England","Southampton","Salt Lake City, Utah, US","US","","No"
"43",43,0,3,"Kraeff, Mr. Theodor",19,"male",0,0,"349253",7,"",29.42,351,"Bulgaria","Cherbourg","Madison, Wisconsin, US","US","","No"
"44",44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",40,"female",1,2,"SC/Paris 2123",41,"",3,36,"France","Cherbourg","Cap-Ha??tien, Haiti","Haiti","14","Yes"
"45",45,1,3,"Devaney, Miss. Margaret Delia",29,"female",0,0,"330958",7,"",19,228,"Ireland","Queenstown","New York City","US","C","Yes"
"46",46,0,3,"Rogers, Mr. William John",24,"male",0,0,"S.C./A.4. 23567",8,"",29,348,"Australia","Southampton","New York City","US","","No"
"47",47,0,3,"Lennon, Mr. Denis",17,"male",1,0,"370371",15,"",20,240,"Ireland","Queenstown","New York City","US","","No"
"48",48,1,3,"O'Driscoll, Miss. Bridget",25,"female",0,0,"14311",7,"",24,288,"Ireland","Queenstown","Jersey City, New Jersey, US","US","D","Yes"
"49",49,0,3,"Samaan, Mr. Youssef",19,"male",2,0,"2662",21,"",16,192,"Lebanon","Cherbourg","Wilkes-Barre, Pennsylvania, US","US","","No"
"50",50,0,3,"Arnold-Franchi, Mrs. Josef ",27,"female",1,0,"349237",17,"",18,216,"Switzerland","Southampton","New Glarus, Wisconsin, US","US","","No"
"51",51,0,3,"Panula, Master. Juha Niilo",26,"male",4,1,"3101295",39,"",7,84,"Finland","Southampton","Coal Center, Pennsylvania, US","US","","No"
"52",52,0,3,"Nosworthy, Mr. Richard Cater",28,"male",0,0,"A/4. 39886",7,"",21,252,"England","Southampton","Buffalo, New York, US","US","","No"
"53",53,1,1,"Harper, Mrs. Henry Sleeper ",27,"female",1,0,"PC 17572",76,"D33",49,588,"US","Cherbourg","New York, New York, US","US","3","Yes"
"54",54,1,2,"Faunthorpe, Mrs. Lizzie ",24,"female",1,0,"2926",26,"",29,348,"England","Southampton","Philadelphia, Pennsylvania, US","US","16","Yes"
"55",55,0,1,"Ostby, Mr. Engelhart Cornelius",30,"male",0,1,"113509",61,"B30",64,768,"US","Southampton","Providence, Rhode Island, US","US","","No"
"56",56,1,1,"Woolner, Mr. Hugh",17,"male",0,0,"19947",35,"C52",45,540,"England","Southampton","New York, New York, US","US","D","Yes"
"57",57,1,2,"Rugg, Miss. Emily",17,"female",0,0,"C.A. 31026",10,"",21,252,"Channel Islands","Southampton","Wilmington, Delaware, US","US","12","Yes"
"58",58,0,3,"Novel, Mr. Mansouer",19,"male",0,0,"2697",7,"",20,240,"Lebanon","Cherbourg","Ottawa, Ontario, Canada","Canada","","No"
"59",59,1,2,"West, Miss. Constance Mirium",28,"female",1,2,"C.A. 34651",27,"",4,48,"England","Southampton","Gainesville, Florida, US","US","10","Yes"
"60",60,0,3,"Goodwin, Master. William Frederick",34,"male",5,2,"CA 2144",46,"",13,156,"England","Southampton","Niagara Falls, New York, US","US","","No"
"61",61,0,3,"Sirayanian, Mr. Orsen",21,"male",0,0,"2669",7,"",22,264,"Turkey","Cherbourg","Brantford, Ontario, Canada","Canada","","No"
"62",62,1,1,"Icard, Miss. Amelie",19,"female",0,0,"113572",80,"B28",38,456,"US","Southampton","New York, New York, US","US","6","Yes"
"63",63,0,1,"Harris, Mr. Henry Birkhardt",27,"male",1,0,"36973",83,"C83",45,540,"US","Southampton","New York, New York, US","US","","No"
"64",64,0,3,"Skoog, Master. Harald",21,"male",3,2,"347088",27,"",5,60,"Sweden","Southampton","Iron Mountain, Michigan, US","US","","No"
"65",65,0,1,"Stewart, Mr. Albert A",21,"male",0,0,"PC 17605",27,"",54,648,"US","Cherbourg","Gallipolis, Ohio, US","US","","No"
"66",66,1,3,"Moubarek, Master. Gerios",24,"male",1,1,"2661",15,"",7,84,"Lebanon","Cherbourg","Houtzdale, Pennsylvania, US","US","C","Yes"
"67",67,1,2,"Nye, Mrs. ",10,"female",0,0,"C.A. 29395",10,"F33",29,348,"US","Southampton","East Orange, New Jersey, US","US","11","Yes"
"68",68,0,3,"Crease, Mr. Ernest James",24,"male",0,0,"S.P. 3464",8,"",19,228,"England","Southampton","Cleveland, Ohio, US","US","","No"
"69",69,1,3,"Andersson, Miss. Erna Alexandra",31,"female",4,2,"3101281",7,"",17,204,"Finland","Southampton","New York City","US","D","Yes"
"70",70,0,3,"Kink, Mr. Vincenz",17,"male",2,0,"315151",8,"",26,312,"Switzerland","Southampton","Milwaukee, Wisconsin, US","US","","No"
"71",71,0,2,"Jenkin, Mr. Stephen Curnow",26,"male",0,0,"C.A. 33111",10,"",32,384,"England","Southampton","Houghton, Michigan, US","US","","No"
"72",72,0,3,"Goodwin, Miss. Lillian Amy",26,"female",5,2,"CA 2144",46,"",16,192,"England","Southampton","Niagara Falls, New York, US","US","","No"
"73",73,0,2,"Hood, Mr. Ambrose Jr",20,"male",0,0,"S.O.C. 14879",73,"",21,252,"England","Southampton","Manitoba, Canada","Canada","","No"
"74",74,0,3,"Chronopoulos, Mr. Apostolos",27,"male",1,0,"2680",14,"",26,312,"Greece","Cherbourg","New York City","US","","No"
"75",75,1,3,"Bing, Mr. Lee",13,"male",0,0,"1601",56,"",32,384,"China","Southampton","New York City","US","C","Yes"
"76",76,0,3,"Moen, Mr. Sigurd Hansen",23,"male",0,0,"348123",7,"F G73",25,300,"Norway","Southampton","Minneapolis, Minnesota, US","US","","No"
"77",77,0,3,"Staneff, Mr. Ivan",17,"male",0,0,"349208",7,"",23,276,"Bulgaria","Southampton","Chicago, Illinois, US","US","","No"
"78",78,0,3,"Moutal, Mr. Rahamin Haim",24,"male",0,0,"374746",8,"",28,336,"England","Southampton","New York City","US","","No"
"79",79,1,2,"Caldwell, Master. Alden Gates",29,"male",0,2,"248738",29,"",0.83,10,"Bangkok","Southampton","Roseville, Illinois, US","US","13","Yes"
"80",80,1,3,"Dowdell, Miss. Elizabeth",24,"female",0,0,"364516",12,"",31,372,"US","Southampton","New York City","US","13","Yes"
"81",81,0,3,"Waelens, Mr. Achille",20,"male",0,0,"345767",9,"",22,264,"Belgium","Southampton","Stanton, Ohio, US","US","","No"
"82",82,1,3,"Sheerlinck, Mr. Jan Baptist",27,"male",0,0,"345779",9,"",29,348,"Belgium","Southampton","Detroit, Michigan, US","US","11","Yes"
"83",83,1,3,"McDermott, Miss. Brigdet Delia",30,"female",0,0,"330932",7,"",31,372,"Ireland","Queenstown","Chicago, Illinois, US","US","13","Yes"
"84",84,0,1,"Carrau, Mr. Francisco M",23,"male",0,0,"113059",47,"",31,372,"Uruguay","Southampton","Montevideo, Uruguay","Uruguay","","No"
"85",85,1,2,"Ilett, Miss. Bertha",19,"female",0,0,"SO/C 14885",10,"",17,204,"Channel Islands","Southampton","Atlanta, Georgia, US","US","","No"
"86",86,1,3,"Backstrom, Mrs. Karl Alfred ",28,"female",3,0,"3101278",15,"",33,396,"Finland","Southampton","New York City","US","D","Yes"
"87",87,0,3,"Ford, Mr. William Neal",22,"male",1,3,"W./C. 6608",34,"",16,192,"England","Southampton","Essex County, New Jersey, US","US","","No"
"88",88,0,3,"Slocovski, Mr. Selman Francis",29,"male",0,0,"SOTON/OQ 392086",8,"",20,240,"England","Southampton","New York City","US","","No"
"89",89,1,1,"Fortune, Miss. Mabel Helen",26,"female",3,2,"19950",263,"C23 C25 C27",23,276,"Canada","Southampton","Winnipeg, Manitoba, Canada","Canada","10","Yes"
"90",90,0,3,"Celotti, Mr. Francesco",22,"male",0,0,"343275",8,"",24,288,"Italy","Southampton","New York City","US","","No"
"91",91,0,3,"Christmann, Mr. Emil",20,"male",0,0,"343276",8,"",29,348,"England","Southampton","New York City","US","","No"
"92",92,0,3,"Andreasson, Mr. Paul Edvin",26,"male",0,0,"347466",7,"",20,240,"Sweden","Southampton","Chicago, Illinois, US","US","","No"
"93",93,0,1,"Chaffee, Mr. Herbert Fuller",27,"male",1,0,"W.E.P. 5734",61,"E31",46,552,"US","Southampton","Amenia, North Dakota, US","US","","No"
"94",94,0,3,"Dean, Mr. Bertram Frank",23,"male",1,2,"C.A. 2315",20,"",25,300,"England","Southampton","Wichita, Kansas, US","US","","No"
"95",95,0,3,"Coxon, Mr. Daniel",17,"male",0,0,"364500",7,"",59,708,"England","Southampton","Merrill, Wisconsin, US","US","","No"
"96",96,0,3,"Shorney, Mr. Charles Joseph",27,"male",0,0,"374910",8,"",22,264,"England","Southampton","New York, US","US","","No"
"97",97,0,1,"Goldschmidt, Mr. George B",25,"male",0,0,"PC 17754",34,"A5",71,852,"US","Cherbourg","New York, New York, US","US","","No"
"98",98,1,1,"Greenfield, Mr. William Bertram",31,"male",0,1,"PC 17759",63,"D10 D12",23,276,"US","Cherbourg","New York, New York, US","US","7","Yes"
"99",99,1,2,"Doling, Mrs. John T ",20,"female",0,1,"231919",23,"",34,408,"England","Southampton","New York City","US","","No"
"100",100,0,2,"Kantor, Mr. Sinai",17,"male",1,0,"244367",26,"",34,408,"Russia","Southampton","Bronx, New York, US","US","","No"
"101",101,0,3,"Petranec, Miss. Matilda",23,"female",0,0,"349245",7,"",28,336,"Croatia","Southampton","Harrisburg, Pennsylvania, US","US","","No"
"102",102,0,3,"Petroff, Mr. Pastcho ",21,"male",0,0,"349215",7,"",29,348,"Bulgaria","Southampton","Chicago, Illinois, US","US","","No"
"103",103,0,1,"White, Mr. Richard Frasar",25,"male",0,1,"35281",77,"D26",21,252,"US","Southampton","Brunswick, Maine, US","US","","No"
"104",104,0,3,"Johansson, Mr. Gustaf Joel",26,"male",0,0,"7540",8,"",33,396,"Sweden","Southampton","Cheyenne, North Dakota, US","US","","No"
"105",105,0,3,"Gustafsson, Mr. Anders Vilhelm",30,"male",2,0,"3101276",7,"",37,444,"Finland","Southampton","New York City","US","","No"
"106",106,0,3,"Mionoff, Mr. Stoytcho",21,"male",0,0,"349207",7,"",28,336,"Bulgaria","Southampton","Chicago, Illinois, US","US","","No"
"107",107,1,3,"Salkjelsvik, Miss. Anna Kristine",32,"female",0,0,"343120",7,"",21,252,"Norway","Southampton","Proctor, Minnesota, US","US","C","Yes"
"108",108,1,3,"Moss, Mr. Albert Johan",22,"male",0,0,"312991",7,"",29,348,"Norway","Southampton","New York City","US","B","Yes"
"109",109,0,3,"Rekic, Mr. Tido",15,"male",0,0,"349249",7,"",38,456,"Bosnia","Southampton","Harrisburg, Pennsylvania, US","US","","No"
"110",110,1,3,"Moran, Miss. Bertha",19,"female",1,0,"371110",24,"",28,336,"Ireland","Queenstown","Brooklyn, New York, US","US","16","Yes"
"111",111,0,1,"Porter, Mr. Walter Chamberlain",30,"male",0,0,"110465",52,"C110",46,552,"US","Southampton","Worcester, Massachusetts, US","US","","No"
"112",112,0,3,"Zabour, Miss. Hileni",20,"female",1,0,"2665",14,"",16,192,"Syria","Cherbourg","New York City","US","","No"
"113",113,0,3,"Barton, Mr. David John",22,"male",0,0,"324669",8,"",22,264,"England","Southampton","New York City","US","","No"
"114",114,0,3,"Jussila, Miss. Katriina",23,"female",1,0,"4136",9,"",20,240,"Finland","Southampton","New York City","US","","No"
"115",115,0,3,"Attalah, Miss. Malake",21,"female",0,0,"2627",14,"",17,204,"Lebanon","Cherbourg","New York City","US","","No"
"116",116,0,3,"Pekoniemi, Mr. Edvard",21,"male",0,0,"STON/O 2. 3101294",7,"",21,252,"Finland","Southampton","New York City","US","","No"
"117",117,0,3,"Connors, Mr. Patrick",20,"male",0,0,"370369",7,"",61,732,"Ireland","Queenstown","New York City","US","","No"
"118",118,0,2,"Turpin, Mr. William John Robert",31,"male",1,0,"11668",21,"",29,348,"England","Southampton","Salt Lake City, Utah, US","US","","No"
"119",119,0,1,"Baxter, Mr. Quigg Edmond",24,"male",0,1,"PC 17558",247,"B58 B60",24,288,"Canada","Cherbourg","Montreal, Quebec, Canada","Canada","","No"
"120",120,0,3,"Andersson, Miss. Ellis Anna Maria",33,"female",4,2,"347082",31,"",2,24,"Sweden","Southampton","Winnipeg, Manitoba, Canada","Canada","","No"
"121",121,0,2,"Hickman, Mr. Stanley George",27,"male",2,0,"S.O.C. 14879",73,"",20,240,"England","Southampton","The Pas, Manitoba, Canada","Canada","","No"
"122",122,0,3,"Moore, Mr. Leonard Charles",26,"male",0,0,"A4. 54510",8,"",19,228,"England","Southampton","Hoboken, New Jersey, US","US","","No"
"123",123,0,2,"Nasser, Mr. Nicholas",20,"male",1,0,"237736",30,"",28,336,"Lebanon","Cherbourg","Cleveland, Ohio, US","US","","No"
"124",124,1,2,"Webber, Miss. Susan",19,"female",0,0,"27267",13,"E101",37,444,"England","Southampton","Hartford, Connecticut, US","US","12","Yes"
"125",125,0,1,"White, Mr. Percival Wayland",27,"male",0,1,"35281",77,"D26",54,648,"US","Southampton","Brunswick, Maine, US","US","","No"
"126",126,1,3,"Nicola-Yarred, Master. Elias",28,"male",1,0,"2651",11,"",12,144,"Lebanon","Cherbourg","Jacksonville, Florida, US","US","C","Yes"
"127",127,0,3,"McMahon, Mr. Martin",19,"male",0,0,"370372",7,"",20,240,"Ireland","Queenstown","New York City","US","","No"
"128",128,1,3,"Madsen, Mr. Fridtjof Arne",25,"male",0,0,"C 17369",7,"",24,288,"Norway","Southampton","Brooklyn, New York, US","US","13","Yes"
"129",129,1,3,"Peter, Miss. Anna",17,"female",1,1,"2668",22,"F E69",2,24,"Syria","Cherbourg","Detroit, Michigan, US","US","C","Yes"
"130",130,0,3,"Ekstrom, Mr. Johan",18,"male",0,0,"347061",6,"",45,540,"US","Southampton","Effington Rut, South Dakota, US","US","","No"
"131",131,0,3,"Drazenoic, Mr. Jozef",20,"male",0,0,"349241",7,"",33,396,"Croatia","Cherbourg","New York City","US","","No"
"132",132,0,3,"Coelho, Mr. Domingos Fernandeo",30,"male",0,0,"SOTON/O.Q. 3101307",7,"",20,240,"Portugal","Southampton","New York City","US","","No"
"133",133,0,3,"Robins, Mrs. Alexander A ",25,"female",1,0,"A/5. 3337",14,"",47,564,"England","Southampton","Yonkers, New York, US","US","","No"
"134",134,1,2,"Weisz, Mrs. Leopold ",20,"female",1,0,"228414",26,"",37,444,"England","Southampton","Montreal, Quebec, Canada","Canada","10","Yes"
"135",135,0,2,"Sobey, Mr. Samuel James Hayden",30,"male",0,0,"C.A. 29178",13,"",25,300,"England","Southampton","Houghton, Michigan, US","US","","No"
"136",136,0,2,"Richard, Mr. Emile",18,"male",0,0,"SC/PARIS 2133",15,"",23,276,"France","Cherbourg","Montreal, Quebec, Canada","Canada","","No"
"137",137,1,1,"Newsom, Miss. Helen Monypeny",28,"female",0,2,"11752",26,"D47",19,228,"US","Southampton","New York, New York, US","US","5","Yes"
"138",138,0,1,"Futrelle, Mr. Jacques Heath",27,"male",1,0,"113803",53,"C123",37,444,"US","Southampton","Scituate, Massachusetts, US","US","","No"
"139",139,0,3,"Osen, Mr. Olaf Elon",19,"male",0,0,"7534",9,"",16,192,"Sweden","Southampton","Mitchell, South Dakota, US","US","","No"
"140",140,0,1,"Giglio, Mr. Victor",18,"male",0,0,"PC 17593",79,"B86",24,288,"France","Cherbourg","New York, New York, US","US","","No"
"141",141,0,3,"Boulos, Mrs. Joseph ",20,"female",0,2,"2678",15,"",40,480,"Lebanon","Cherbourg","Kent, British Columbia, Canada","Canada","","No"
"142",142,1,3,"Nysten, Miss. Anna Sofia",24,"female",0,0,"347081",7,"",22,264,"Sweden","Southampton","Hackensack, New Jersey, US","US","13","Yes"
"143",143,1,3,"Hakkarainen, Mrs. Pekka Pietari ",32,"female",1,0,"STON/O2. 3101279",15,"",24,288,"Finland","Southampton","Monessen, Pennsylvania, US","US","15","Yes"
"144",144,0,3,"Burke, Mr. Jeremiah",19,"male",0,0,"365222",6,"",19,228,"Ireland","Queenstown","Charlestown, US","US","","No"
"145",145,0,2,"Andrew, Mr. Edgardo Samuel",26,"male",0,0,"231945",11,"",17,204,"Argentina","Southampton","Trenton, New Jersey, US","US","","No"
"146",146,0,2,"Nicholls, Mr. Joseph Charles",28,"male",1,1,"C.A. 33112",36,"",19,228,"England","Southampton","Houghton, Michigan, US","US","","No"
"147",147,1,3,"Andersson, Mr. August Edvard ",29,"male",0,0,"350043",7,"",27,324,"Sweden","Southampton","Chicago, Illinois, US","US","A","Yes"
"148",148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",32,"female",2,2,"W./C. 6608",34,"",7,84,"England","Southampton","Essex County, New Jersey, US","US","","No"
"149",149,0,2,"Navratil, Mr. Michel ",21,"male",0,2,"230080",26,"F2",32,384,"France","Southampton","New York City","US","","No"
"150",150,0,2,"Byles, Rev. Thomas Roussel Davids",33,"male",0,0,"244310",13,"",42,504,"England","Southampton","Jacksonville, Florida, US","US","","No"
"151",151,0,2,"Bateman, Rev. Robert James",26,"male",0,0,"S.O.P. 1166",12,"",51,612,"US","Southampton","Jacksonville, Florida, US","US","","No"
"152",152,1,1,"Pears, Mrs. Thomas ",19,"female",1,0,"113776",66,"C2",22,264,"England","Southampton","New York, New York, US","US","8","Yes"
"153",153,0,3,"Meo, Mr. Alfonzo",16,"male",0,0,"A.5. 11206",8,"",48,576,"England","Southampton","Washington, DC, US","US","","No"
"154",154,0,3,"van Billiard, Mr. Austin Blyler",31,"male",0,2,"A/5. 851",14,"",35,420,"England","Southampton","North Wales, Pennsylvania, US","US","","No"
"155",155,0,3,"Olsen, Mr. Ole Martin",21,"male",0,0,"Fa 265302",7,"",27,324,"Norway","Southampton","Broderick, Canada","Canada","","No"
"156",156,0,1,"Williams, Mr. Charles Duane",27,"male",0,1,"PC 17597",61,"",51,612,"Switzerland","Cherbourg","Radnor, Pennsylvania, US","US","","No"
"157",157,1,3,"Gilnagh, Miss. Katherine ""Katie""",32,"female",0,0,"35851",7,"",17,204,"Ireland","Queenstown","New York City","US","16","Yes"
"158",158,0,3,"Corn, Mr. Harry",15,"male",0,0,"SOTON/OQ 392090",8,"",30,360,"England","Southampton","New York City","US","","No"
"159",159,0,3,"Smiljanic, Mr. Mile",19,"male",0,0,"315037",8,"",37,444,"Croatia","Southampton","New York City","US","","No"
"160",160,0,3,"Sage, Master. Thomas Henry",26,"male",8,2,"CA. 2343",69,"",4,48,"England","Southampton","Jacksonville, Florida, US","US","","No"
"161",161,0,3,"Cribb, Mr. John Hatfield",24,"male",0,1,"371362",16,"",44,528,"England","Southampton","Newark, New Jersey, US","US","","No"
"162",162,1,2,"Watt, Mrs. James ",17,"female",0,0,"C.A. 33595",15,"",40,480,"Scotland","Southampton","Portland, Oregon, US","US","9","Yes"
"163",163,0,3,"Bengtsson, Mr. John Viktor",26,"male",0,0,"347068",7,"",26,312,"Sweden","Southampton","Monee, Illinois, US","US","","No"
"164",164,0,3,"Calic, Mr. Jovo",15,"male",0,0,"315093",8,"",17,204,"Croatia","Southampton","Sault Ste. Marie, Michigan, US","US","","No"
"165",165,0,3,"Panula, Master. Eino Viljami",28,"male",4,1,"3101295",39,"",1,12,"Finland","Southampton","Coal Center, Pennsylvania, US","US","","No"
"166",166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",47,"male",0,2,"363291",20,"",9,108,"England","Southampton","Detroit, Michigan, US","US","C","Yes"
"167",167,1,1,"Chibnall, Mrs. ",15,"female",0,1,"113505",55,"E33",48,576,"England","Southampton","New York, New York, US","US","6","Yes"
"168",168,0,3,"Skoog, Mrs. William ",20,"female",1,4,"347088",27,"",43,516,"Sweden","Southampton","Iron Mountain, Michigan, US","US","","No"
"169",169,0,1,"Baumann, Mr. John D",19,"male",0,0,"PC 17318",25,"",60,720,"US","Cherbourg","New York, New York, US","US","","No"
"170",170,0,3,"Ling, Mr. Lee",13,"male",0,0,"1601",56,"",24,288,"China","Southampton","New York City","US","","No"
"171",171,0,1,"Van der hoef, Mr. Wyckoff",25,"male",0,0,"111240",33,"B19",61,732,"US","Belfast","Brooklyn, New York, US","US","","No"
"172",172,0,3,"Rice, Master. Arthur",20,"male",4,1,"382652",29,"",4,48,"Ireland","Queenstown","Spokane, Washington, US","US","","No"
"173",173,1,3,"Johnson, Miss. Eleanor Ileen",28,"female",1,1,"347742",11,"",1,12,"US","Southampton","St. Charles, Illinois, US","US","15","Yes"
"174",174,0,3,"Sivola, Mr. Antti Wilhelm",25,"male",0,0,"STON/O 2. 3101280",7,"",21,252,"US","Southampton","Mountain Home, Idaho, US","US","","No"
"175",175,0,1,"Smith, Mr. James Clinch",23,"male",0,0,"17764",30,"A7",56,672,"France","Cherbourg","Long Island, New York, US","US","","No"
"176",176,0,3,"Klasen, Mr. Klas Albin",22,"male",1,1,"350404",7,"",18,216,"Sweden","Southampton","New York City","US","","No"
"177",177,0,3,"Lefebre, Master. Henry Forbes",29,"male",3,1,"4133",25,"",5,60,"France","Southampton","Mystic, Iowa, US","US","","No"
"178",178,0,1,"Isham, Miss. Ann Elizabeth",26,"female",0,0,"PC 17595",28,"C49",50,600,"US","Cherbourg","Chicago, Illinois, US","US","","No"
